FECHA (YYMMDD);HORA (HHMM);;
140208;1500;786,183;
140208;1600;612,274;
140208;1700;412,483;
140208;1800;203,175;
140208;1900;34,0541;
140208;2000;0;
140208;2100;0;
140208;2200;0;
140208;2300;0;
140209;0000;0;
140209;0100;0;
140209;0200;0;
140209;0300;0;
140209;0400;0;
140209;0500;0;
140209;0600;20,219;
140209;0700;176,633;
140209;0800;382,65;
140209;0900;585,008;
140209;1000;765,85;
140209;1100;894,583;
140209;1200;965,167;
140209;1300;969,25;
140209;1400;909,333;
140209;1500;786,625;
140209;1600;614,699;
140209;1700;413,492;
140209;1800;203,95;
140209;1900;33,7842;
140209;2000;0;
140209;2100;0;
140209;2200;0;
140209;2300;0;
140210;0000;0;
140210;0100;0;
140210;0200;0;
140210;0300;0;
140210;0400;0;
140210;0500;0;
140210;0600;19,2943;
140210;0700;175,8;
140210;0800;380,367;
140210;0900;584,975;
140210;1000;758,917;
140210;1100;886,167;
140210;1200;952,917;
140210;1300;959,667;
140210;1400;897,167;
140210;1500;773;
140210;1600;600,032;
140210;1700;398,342;
140210;1800;190,292;
140210;1900;29,8093;
140210;2000;0;
140210;2100;0;
140210;2200;0;
140210;2300;0;
140211;0000;0;
140211;0100;0;
140211;0200;0;
140211;0300;0;
140211;0400;0;
140211;0500;0;
140211;0600;11,0203;
140211;0700;184,779;
140211;0800;378,092;
140211;0900;573,241;
140211;1000;749,399;
140211;1100;880,5;
140211;1200;950,333;
140211;1300;959,75;
140211;1400;897,083;
140211;1500;775,342;
140211;1600;597,925;
140211;1700;400,475;
140211;1800;191,992;
140211;1900;29,7617;
140211;2000;0;
140211;2100;0;
140211;2200;0;
140211;2300;0;
140212;0000;0;
140212;0100;0;
140212;0200;0;
140212;0300;0;
140212;0400;0;
140212;0500;0;
140212;0600;17,0371;
140212;0700;178,558;
140212;0800;389,333;
140212;0900;595,282;
140212;1000;774,032;
140212;1100;901,583;
140212;1200;968,083;
140212;1300;963,75;
140212;1400;905,417;
140212;1500;775,982;
140212;1600;602,542;
140212;1700;402,975;
140212;1800;189,733;
140212;1900;25,3495;
140212;2000;0;
140212;2100;0;
140212;2200;0;
140212;2300;0;
140213;0000;0;
140213;0100;0;
140213;0200;0;
140213;0300;0;
140213;0400;0;
140213;0500;0;
140213;0600;18,908;
140213;0700;176,133;
140213;0800;385,15;
140213;0900;590,642;
140213;1000;764,417;
140213;1100;894,333;
140213;1200;962,833;
140213;1300;964,25;
140213;1400;894,667;
140213;1500;766,199;
140213;1600;594,85;
140213;1700;388,35;
140213;1800;173,958;
140213;1900;20,8665;
140213;2000;0;
140213;2100;0;
140213;2200;0;
140213;2300;0;
140214;0000;0;
140214;0100;0;
140214;0200;0;
140214;0300;0;
140214;0400;0;
140214;0500;0;
140214;0600;7,28;
140214;0700;63,6357;
140214;0800;167,992;
140214;0900;470,875;
140214;1000;708,175;
140214;1100;861,5;
140214;1200;930;
140214;1300;935,083;
140214;1400;876,583;
140214;1500;750,458;
140214;1600;575,816;
140214;1700;370,217;
140214;1800;165,558;
140214;1900;18,9797;
140214;2000;0;
140214;2100;0;
140214;2200;0;
140214;2300;0;
140215;0000;0;
140215;0100;0;
140215;0200;0;
140215;0300;0;
140215;0400;0;
140215;0500;0;
140215;0600;13,8315;
140215;0700;155,103;
140215;0800;361,308;
140215;0900;472,15;
140215;1000;603,441;
140215;1100;756,199;
140215;1200;877,958;
140215;1300;907,683;
140215;1400;693,717;
140215;1500;566,142;
140215;1600;262,467;
140215;1700;112,102;
140215;1800;64,7982;
140215;1900;10,3384;
140215;2000;0;
140215;2100;0;
140215;2200;0;
140215;2300;0;
140216;0000;0;
140216;0100;0;
140216;0200;0;
140216;0300;0;
140216;0400;0;
140216;0500;0;
140216;0600;14,6058;
140216;0700;151,633;
140216;0800;355,067;
140216;0900;561,199;
140216;1000;738,267;
140216;1100;833,816;
140216;1200;938,083;
140216;1300;943,417;
140216;1400;881,833;
140216;1500;756,683;
140216;1600;572,282;
140216;1700;367,742;
140216;1800;166,592;
140216;1900;17,3776;
140216;2000;0;
140216;2100;0;
